"id","geom","LENGTH","NOM"
28,"01050000204F6600000100000001020000001B000000BF25702B21F429C1E7A9107017554E41190E02CF73F329C13F8A5E0907544E41A010D70D01F329C193CA19F43D534E41BF3D01B59AF229C176A80B61AD524E4102CF9A7B81F229C1FA1FF4788D524E41ACFCF0F529F229C1837CB68253524E41FBE6F5CFB3F129C1825DE82D12524E4103B60F5320F129C129A1928AD8514E41C748C273A4F029C1A85C51F6AB514E41EDAB01AEADEF29C19BCD85235E514E41CFB177D6DDEE29C1C8C61A0F21514E41A6BE28612CEE29C1B6905595E7504E4113244FA2C0ED29C1682F551FC8504E419FC0C94120ED29C18422B50AA7504E41072120B6EFEB29C1A54F1EEB73504E4186B6FE37ECEA29C1182AB08840504E4109DCFADFA4E929C12B11F9BE09504E416431A50AD0E829C19C1CF9F6E84F4E41594F5A8E40E729C1DC67EC7BD44F4E4136EB2BD8F4E529C1A1F0998AC14F4E41724617D2E5E429C1DCB1F3ABB74F4E41321668E57BE329C116334601A34F4E41F5D7CDFAB7E229C117DE70BB984F4E41C2AEA71FFCE129C13CC9FFF7954F4E41371C7D4205E129C13A7A25D29E4F4E41A5C5B80C55DE29C18C1DC13AB74F4E4179835E2355DA29C1DD268C05E84F4E41","4221.626","BOULEVARD ZERKTOUNI"
29,"01050000204F6600000100000001020000000A0000007D9F0757FCE529C1EDDB5480C14F4E4136DD98A0BAE429C105FF34CE7D504E41BBFBC445A2E329C1613B55880E514E41C35D5652C3E229C103AE2ED180514E413ABECB0F67E229C1BADC2382BF514E4109ADB3000AE229C1B70038C9F4514E41C7B40D0BCCE129C139BD781537524E411FB5BC8AB9E129C1260F2A5066524E417372569197E129C1584293F48F524E41AB32B4186EE129C189324EA3B9524E41","1359.34","BOULEVARD HASSAN II"
30,"01050000204F66000001000000010200000010000000D498C5F943E829C1BB73B05368514E41EB4C2F3CAFE829C18C12861F82514E41C4C71B7B13E929C14A1E74A0A1514E4155183A514BE929C1592A0EECC8514E41F05068C76BE929C1833BA405E5514E4148EE9F0CD9E929C1E8CA865017524E410446F9EA45EA29C1FE712CFA43524E417783AA9CF7EA29C19A7537577F524E4148E6547074EB29C1B89F7E38B7524E41484E9EC837EC29C1AB81708812534E41B26399A68EEC29C1B86E95F244534E417B43400AE5EC29C1D66188BB71534E41F20828B358ED29C1BED16FCE96534E414CACE3D18FED29C16F5199ABB4534E412EC3DE41C2ED29C10A0BD27CF4534E4142302A8E41EE29C15C7EBF3BA1544E41","1536.056","BOULEVARD MOULAY YOUSSEF"
31,"01050000204F66000001000000010200000007000000101F623D92E429C12408AC6CBE514E4149B1B0AADCE329C1FDB7102105524E41BCEA5DFD85E329C17F1013302D524E41628E92A536E329C1492A0B4E53524E419AC06AEFF4E229C165D04F6568524E419EBD0DA495E229C19289C04B83524E417E02863BCFE129C162FC095AB5524E41","508.027","BOULEVARD ABDERRAHMANE ESSAHRAOUI"
32,"01050000204F66000001000000010200000010000000E638D23206E729C1E119C337F1524E4149C119E22CE529C1523C673D18534E417D4EEC67A4E329C1070F9B8F34534E4139ED41E9DDDF29C16DB2C39238534E4149759F94F1DC29C19283C0FD3F534E41C0EF7CD5DEDA29C1715881F243534E4175DACAABC9D929C15443ECDC40534E41303AFAF56ED929C14D9F695841534E4113EE0194B9D729C14706AD012E534E41B605D17B9AD629C13A2C8FB920534E41F623636533D529C1FE18BEA41A534E418D55CEC444D429C1323EBE5917534E415C9FEDB527D229C1988AC58A0C534E41CD03F54A37D129C129B6B7D00D534E41B9B0AB76E1D029C1C38D12D412534E41BDC8D9D244CC29C11890F8F879534E41","2907.924","AVENUE DES FORCES ARMEES ROYALES"
33,"01050000204F66000001000000010200000004000000822AA30C5CD929C1764B745D68534E4187AE4B3D59D729C1E18AE7C35C534E417AE07291ADD429C1BE8E1C294D534E41757C5D51AED429C1C4F517284D534E41","501.82","RUE MAJID AL BAHAR"
34,"01050000204F66000001000000010200000003000000678C196764D429C13E10F6CB4B534E4174B7C65D7DD229C1FE4B948E60534E414F73F5B4CACF29C10D3A9CF081534E41","498.992","RUE DE TOULON"
35,"01050000204F6600000100000001020000000C000000E1AF7C81C7CF29C16A2C3FF39D534E41F03B31B8BAD229C153D8598482534E4126ACA1A995D429C1FF8423C173534E41F285CEF1E7D429C17A1746B674534E413D4CAB29E1D729C1212B25C487534E41B4E302E64FDA29C1B61F6F2F94534E41108B447FDBDA29C1A8C687FB97534E411C8933DE63DB29C1973EF84C9F534E4171093D5247DC29C1C665722FB5534E413BBD1443B5DC29C1BF2EDB06C5534E41F779ED30F4DC29C10B51EE98D0534E4135FD3C5C82DD29C18814D1CDF2534E41","1516.445","BOULEVARD MOULAY ABDERRAHMANE"
36,"01050000204F660000010000000102000000110000004CFFC99DC7DD29C1B9450EAEFE534E41B049CA6454DE29C12AE0754021544E41A62CFCD18CDE29C1E4F96F682A544E4137507331E1DE29C1DEC4E01734544E416DA835C1A3DF29C12D4ACBA33F544E41F44A1FF10BE029C1E71C790945544E412144808345E029C167DE5DFC49544E41DA7FA4426EE029C104E6C8A54E544E41CAAFFECEADE029C1B3F97A8459544E41BFBAC589ECE029C11BF042AA6A544E41E2BE4FB24AE129C1A770928795544E410262FB4DB9E129C1A4362CF2CD544E41638524DCA5E229C187E88F1E47554E41C18EC3EBD5E229C1838C73B15F554E41BBC90FD5F3E229C14BF2C85170554E4112F76AB12CE329C16B86D2A77D554E417C85B3728AE329C15B09CAD692554E41","961.187","BOULEVARD DES ALMOHADES"
37,"01050000204F6600000100000001020000000400000058AC11268CDC29C10BE1C55F40544E4186813A08CFDE29C177E00FE2A6534E41FADD3E4CF5DF29C13162A31C5A534E419D49B2CB43E029C15DC00F2847534E41","573","BOULEVARD HOUPHOET BOINEY"
